song_title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
try,P!nk,spotify:track:01DSvNTUsVROjnSF5j3UbD,0.6729999999999999,0.629,2,-7.072,1,0.0299,0.00141,0.0,0.0944,0.551,103.99799999999999,0
in the ghetto,Elvis Presley,spotify:track:6csLL0MBNVIMx19PfsKsW7,0.47700000000000004,0.415,10,-10.592,1,0.0313,0.754,0.0035600000000000002,0.10400000000000001,0.418,87.90700000000001,1
all summer long,Kid Rock,spotify:track:5rX6C5QVvvZB7XckETNych,0.7,0.8640000000000001,7,-3.6289999999999996,1,0.0283,0.0212,0.0,0.0956,0.887,102.99700000000001,0
lean on me,Bill Withers,spotify:track:20kN7bu0HMO8rIVY6tEytW,0.621,0.24600000000000002,0,-11.162,1,0.0598,0.81,1.21e-05,0.133,0.452,75.093,1
i don't wanna be in love (dance floor anthem),Good Charlotte,spotify:track:3AJk0zltdY4XjD2be7a7ss,0.642,0.875,6,-3.14,1,0.042,0.0233,0.0,0.19,0.556,124.946,0
i'm not okay (i promise),My Chemical Romance,spotify:track:7lRlq939cDG4SzWOF4VAnd,0.21,0.94,9,-3.427,1,0.12300000000000001,0.00602,0.0,0.26899999999999996,0.255,179.722,0
girls & boys,Good Charlotte,spotify:track:65mxB9IWpmVo4qUjdGSxRB,0.6629999999999999,0.72,3,-5.497000000000001,1,0.0331,0.00212,0.0,0.358,0.608,135.342,0
amnesia,Chumbawamba,spotify:track:3WiXr3CXD3jYSqmQlUYlnn,0.6629999999999999,0.7759999999999999,6,-8.111,1,0.0417,0.0155,0.292,0.0885,0.444,124.73100000000001,0
tubthumping,Chumbawamba,spotify:track:5YScXJKtefsgdskIy60N7A,0.263,0.871,2,-7.496,1,0.131,0.106,0.0,0.363,0.622,206.68,0
tell it to my heart,Taylor Dayne,spotify:track:6jJCk7oHNwyowOUaF3gXEu,0.677,0.985,1,-4.678,1,0.0549,0.07,3.6200000000000006e-05,0.35100000000000003,0.87,118.09200000000001,0
dirty deeds done dirt cheap,AC/DC,spotify:track:2d4e45fmUnguxh6yqC7gNT,0.6679999999999999,0.9059999999999999,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,0
"white wedding - live on vh1 storytellers, new york city, new york/2001",Billy Idol,spotify:track:6lkCnFeziGpvbsMcAB2DoR,0.488,0.48100000000000004,6,-9.514,0,0.0397,0.769,3.33e-06,0.877,0.556,155.507,1
ridin' dirty,Danny Dove,spotify:track:1XdWLLUhP3r8X9W4OB6TCy,0.797,0.782,1,-5.69,0,0.10300000000000001,0.0013,0.00155,0.0491,0.377,121.01899999999999,0
get low,Lil Jon & The East Side Boyz,spotify:track:0r2Bul2NuCViraT2zX1l5j,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.01899999999999,0
gangsta's paradise (feat. l.v.),Coolio,spotify:track:3u9fHuAtjMY1RW2mZfO4Cf,0.6409999999999999,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955,0
bohemian rhapsody - remastered 2011,Queen,spotify:track:7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.28800000000000003,0.0,0.243,0.228,143.88299999999998,1
it's my life,Bon Jovi,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.9129999999999999,0,-4.063,0,0.0466,0.0263,1.3500000000000001e-05,0.34700000000000003,0.544,119.992,0
life could be a dream,Street Corner Renaissance,spotify:track:1v6CmIvbcquM8rKR33Kc6e,0.616,0.455,6,-5.946000000000001,1,0.045,0.8859999999999999,0.0,0.134,0.762,126.04899999999999,1
he reigns,Newsboys,spotify:track:4mzm2S7WzWJWcTVEut18rB,0.56,0.653,0,-6.282,1,0.0468,0.413,1.19e-06,0.0971,0.655,182.37,0
breakfast,Newsboys,spotify:track:2vLxjS0U2CuaqxEossXLDS,0.44,0.9009999999999999,9,-4.7330000000000005,1,0.0598,0.0531,0.000361,0.927,0.519,202.389,0
devils,Say Hi,spotify:track:0Aizdb8F5NdFvDCZ1OnB1i,0.772,0.526,0,-8.722999999999999,1,0.0701,0.649,2.88e-06,0.125,0.5660000000000001,124.071,1
"go and sin no more - with embedded track ""psalm 139""",Rebecca St. James,spotify:track:1cCIrVaU7hlazMLkjFjcFX,0.555,0.835,0,-4.712,0,0.0408,0.0329,2.34e-05,0.0937,0.47600000000000003,98.007,0
cum on feel the noize,Quiet Riot,spotify:track:3vV3cr2TpPqFk07zxYUbla,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,0
here i go again,Whitesnake,spotify:track:29pzjF6ZkzcW3ofgOVbF0t,0.213,0.634,4,-12.967,0,0.0596,0.369,0.00199,0.359,0.354,174.44299999999998,1
ready or not,DeGarmo & Key,spotify:track:1RDRwPXAP6hSxBIa41wN2w,0.759,0.568,9,-12.67,1,0.0312,0.13699999999999998,0.00312,0.228,0.647,122.37200000000001,1
"johnny, i hardly knew ya",Dropkick Murphys,spotify:track:7qjKgC94B30FRoOcHnMrfx,0.33399999999999996,0.9740000000000001,11,-2.311,0,0.1,0.00869,0.0,0.37,0.33,102.823,0
du hast,Rammstein,spotify:track:1dS1SUD3vr0McKwez9MqAY,0.638,0.9179999999999999,9,-6.294,0,0.0385,0.004370000000000001,0.0706,0.331,0.723,125.066,0
ich will,Rammstein,spotify:track:1SlMYQmLe0yNEvBIfaPTAW,0.648,0.8959999999999999,2,-4.254,1,0.040999999999999995,0.0013800000000000002,0.000819,0.0879,0.46799999999999997,128.115,0
engel,Rammstein,spotify:track:1MWaSUHDZBjPrsyaVxruqx,0.638,0.664,2,-5.767,1,0.0294,0.00872,0.00451,0.17300000000000001,0.32299999999999995,96.07799999999999,0
another saturday night,Yusuf / Cat Stevens,spotify:track:3d6BLhDLG07jgUuTgJ1crq,0.753,0.863,5,-7.084,1,0.113,0.613,7.03e-06,0.0478,0.9640000000000001,139.964,0
17 magazine,Relient K,spotify:track:5Vgzb4ViXEAvgVgCMexO98,0.512,0.7240000000000001,7,-4.752,1,0.045,0.00398,8.88e-06,0.10099999999999999,0.836,164.292,0
the sun also rises,Brave Saint Saturn,spotify:track:1riMbTj6HbiQ0tpD1aRema,0.698,0.863,4,-2.133,1,0.0474,0.0124,0.0,0.128,0.9520000000000001,111.98700000000001,0
binary,Brave Saint Saturn,spotify:track:1PZ2EyaidWiuFI6T6lvaPw,0.659,0.7140000000000001,3,-3.688,1,0.0263,0.0213,1.14e-06,0.0891,0.184,80.961,0
two sets of jones',Big Tent Revival,spotify:track:2fRSNaAEfM2s2Ng9KLYAbZ,0.43799999999999994,0.401,3,-9.631,1,0.0317,0.319,0.0,0.23399999999999999,0.322,172.89,1
take me to your leader,Newsboys,spotify:track:4RHsQ5GU8r4UZmz4yXp50C,0.424,0.871,2,-5.606,1,0.0909,0.0165,0.0,0.193,0.797,184.864,0
